group,image,image_path,status,return_code,psnr,ssim,extraction_rate,average_ber,elapsed_mins,elapsed_secs,runtime_secs_by_batch
R,image_R_1.png,medical_dataset\R\image_R_1.png,OK,0,56.42866,0.99851,100.0,,2.322,139.344,140.19625091552734
R,image_R_2.png,medical_dataset\R\image_R_2.png,OK,0,56.62545,0.99745,100.0,,1.446,86.785,89.67510104179382
R,image_R_3.png,medical_dataset\R\image_R_3.png,OK,0,55.00347,0.99848,100.0,,2.306,138.382,138.80883288383484
R,image_R_4.png,medical_dataset\R\image_R_4.png,OK,0,55.61003,0.99523,100.0,,2.201,132.077,132.5299150943756
R,image_R_5.png,medical_dataset\R\image_R_5.png,OK,0,54.66372,0.99609,100.0,,1.405,84.298,84.76884937286377
720p,image_720_1.png,medical_dataset\720p\image_720_1.png,OK,0,45.11736,0.99108,100.0,,1.479,88.729,89.17056632041931
720p,image_720_2.png,medical_dataset\720p\image_720_2.png,OK,0,45.64007,0.99049,100.0,,2.224,133.454,136.39804434776306
720p,image_720_3.png,medical_dataset\720p\image_720_3.png,OK,0,44.70963,0.99043,100.0,,1.494,89.637,90.11327886581421
720p,image_720_4.png,medical_dataset\720p\image_720_4.png,OK,0,44.09259,0.99099,100.0,,1.681,100.85,101.31101417541504
720p,image_720_5.png,medical_dataset\720p\image_720_5.png,OK,0,45.40504,0.99214,100.0,,2.309,138.532,138.9969606399536
1024p,image_1024_1.png,medical_dataset\1024p\image_1024_1.png,OK,0,53.66876,0.99545,100.0,,1.535,92.124,92.57880282402039
1024p,image_1024_2.png,medical_dataset\1024p\image_1024_2.png,OK,0,52.93675,0.99753,100.0,,1.44,86.4,86.88969850540161
1024p,image_1024_3.png,medical_dataset\1024p\image_1024_3.png,OK,0,53.6477,0.99632,100.0,,1.42,85.199,85.6462185382843
1024p,image_1024_4.png,medical_dataset\1024p\image_1024_4.png,OK,0,54.18545,0.99575,100.0,,1.478,88.663,89.11357307434082
1024p,image_1024_5.png,medical_dataset\1024p\image_1024_5.png,OK,0,52.20521,0.99514,100.0,,1.412,84.733,85.1859347820282
1080p,image_1080_1.png,medical_dataset\1080p\image_1080_1.png,OK,0,56.20685,0.99812,100.0,,2.985,179.128,179.57194113731384
1080p,image_1080_2.png,medical_dataset\1080p\image_1080_2.png,OK,0,56.35471,0.99815,100.0,,2.984,179.048,179.52240419387817
1080p,image_1080_3.png,medical_dataset\1080p\image_1080_3.png,OK,0,57.09939,0.99785,100.0,,4.037,242.222,242.67983961105347
1080p,image_1080_4.png,medical_dataset\1080p\image_1080_4.png,OK,0,55.96665,0.99862,100.0,,3.018,181.088,181.56024408340454
1080p,image_1080_5.png,medical_dataset\1080p\image_1080_5.png,OK,0,56.0047,0.99774,100.0,,3.079,184.725,185.16448736190796
1440p,image_1440_1.png,medical_dataset\1440p\image_1440_1.png,OK,0,61.29651,0.99924,100.0,,5.816,348.954,349.415647983551
1440p,image_1440_2.png,medical_dataset\1440p\image_1440_2.png,OK,0,61.13223,0.99931,100.0,,4.924,295.449,295.912734746933
1440p,image_1440_3.png,medical_dataset\1440p\image_1440_3.png,OK,0,60.84201,0.99941,100.0,,5.143,308.574,309.0312693119049
1440p,image_1440_4.png,medical_dataset\1440p\image_1440_4.png,OK,0,60.70036,0.99928,100.0,,5.393,323.565,324.0377767086029
1440p,image_1440_5.png,medical_dataset\1440p\image_1440_5.png,OK,0,61.17037,0.99942,100.0,,5.08,304.784,305.26849126815796
